product,year,value,share
Fertilisers,2003,0.23469117030214295,1.2186633006254846
Fertilisers,2004,0.3297149450356113,1.2640920508173346
Fertilisers,2005,0.35043123224453043,1.1126628835111683
Fertilisers,2006,0.49257624617591894,1.1959489255295597
Fertilisers,2007,1.038485978231032,1.775165490475647
Fertilisers,2008,1.890918472220895,2.271096013403343
Fertilisers,2009,0.7534878508361889,1.4912358017765845
Fertilisers,2010,2.1287969516527214,2.937384349550476
Fertilisers,2011,3.3318501004585683,3.6642443526200763
Fertilisers,2012,3.489095933624356,3.8800309160313633
Fertilisers,2013,2.705785092608472,2.9260271620025136
Fertilisers,2014,2.9227181470052725,2.884384140993318
Fertilisers,2015,2.6229804106991295,2.80488382815758
Fertilisers,2016,3.0374971030659346,3.141813725413801
Fertilisers,2017,3.749122811678269,3.42195768493021
Fertilisers,2018,4.68489146003525,3.702101644446618
Fertilisers,2019,4.281744141054092,3.3386716429118177
Fertilisers,2020,5.030507681079666,4.235889459200855
Fertilisers,2021,8.737061842236919,5.523037381303271
Fertilisers,2022,11.919757604632029,6.511112697976009
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2003,-0.2823456044286105,-0.1896279553218652
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2004,-0.26869917389602804,-0.17827076777390266
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2005,-0.23551396998313087,-0.1328420175820527
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2006,-0.1690337669489936,-0.038198788015698516
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2007,-0.09919924073823745,0.011015691358805646
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2008,-0.0365809648149418,-0.011698683737119372
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2009,-0.0007781794857551761,0.21165933803947648
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2010,0.033778668913975754,0.1321590252037389
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2011,0.3215789609739166,0.35551704698033476
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2012,1.2201604496356495,1.362521009566343
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2013,2.2570138864736045,2.4414538266227805
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2014,3.552401623025972,3.51281518531391
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2015,3.8518020175325693,4.118531854538576
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2016,4.636519510203164,4.807534565781634
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2017,5.045357085199308,4.625819565014234
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2018,5.809797471494355,4.614462377466272
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2019,5.739210291174235,4.512247689534609
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2020,5.395137567986233,4.550104981361152
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2021,7.665463791280617,4.826463211694905
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2022,9.780643020246954,5.307250817891984
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2003,1.5149526278616547,4.7053198778499725
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2004,1.6450090302310063,4.432747376698872
